# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: one row per class. accessed_size is a LOWER BOUND (FillOutStructure cannot see untouched tail fields and drops any offset past 0x1000); ctor_size is the memset/allocation oracle - read size_confidence before believing it. vtable_rva is the first carved vtable any of the class's methods references: measured against the reviewed census in evidence/vtables/named.tsv it agrees 28/33, and every miss is the same failure mode - it picked up a single-inheritance BASE class's vtable (border->widget's, TGzFile->TAbstractFile's). Treat it as a lead for naming an unnamed vtable, not as a binding
class,accessed_size,ctor_size,memset_size,new_size,alloc_fn,alloc_sites,size_confidence,vtable_entries,vtable_rva,dc_size,dc_base,n_methods,n_from_vtable,n_probed,n_skipped,skipped_rvas
CHighScoreEdit,0x78,,,,,,lower-bound,21,,,,5,5,4,1,0x1bba20
CMCDeadHero,0x8,,,,,,lower-bound,,,0x1c,CMapChange,1,0,1,0,
CNetMsgHandler,0x14,,,,,,lower-bound,7,0x240f24,0xc,,1,1,1,0,
CNetMsgHandlerPause,0x4,,,,,,lower-bound,4,0x240f14,0x10,CNetMsgHandler,1,1,1,0,
CObject,0xa,,,,,,lower-bound,,,0xc,ExtraInfoUnion,2,0,2,0,
CSequence,0xc,0xc,,0xc,0x216ed2,1,high,,,0xc,,2,0,2,0,
CSprite,0x38,0x38,,0x38,0x216ed2,1,high,3,0x23d6b0,0x40,resource,23,2,18,1,0x7b820
CSpriteFrame,0x48,,,,,,lower-bound,3,0x23d6bc,0xd0,resource,14,2,11,1,0x7bd50
CTextDialog,0x58,,,,,,lower-bound,13,0x23db68,0x50,TDialogBox,6,4,3,2,0x90a90 0x90b20
CTextEntrySave,0x28,,,,,,lower-bound,,,,,2,2,1,0,
CTurnDuration,0x14,,,,,,lower-bound,,,0x14,,9,0,9,0,
CampaignHeaderStruct,0x5c,,,,,,lower-bound,13,0x245810,,,2,0,2,0,
ExtraInfoUnion,0x4,,,,,,lower-bound,,,0x4,,6,0,5,1,0x5d80
File,0x109,,,,,,lower-bound,11,0x243d20,0x10c,,13,0,13,0,
LODFile,0x18c,,,,,,lower-bound,,,0x198,,7,0,6,1,0xfaf30
LossConditionStruct,0x24,,,,,,lower-bound,,,0xc,,6,0,5,1,0x1f31e0
NewSMapHeader,0x2d0,,,,,,lower-bound,,,0x174,CMapHeaderData,3,0,3,0,
NewfullMap,0xd8,,,,,,lower-bound,,,0x78,,4,0,4,0,
NewmapCell,0x26,,,,,,lower-bound,,,0x24,ExtraInfoUnion,10,0,9,1,0xfcf40
SCampaign,0x7c,,,,,,lower-bound,,,0x70d4,,4,0,4,0,
SavedGameHeader,0x570,,,,,,lower-bound,,,0x2c,,2,0,2,0,
TAbstractFile,0x4,,,,,,lower-bound,3,0x23dac0,,,1,1,1,0,
TAdventureMapWindow,0xa0,0xa0,,0xa0,0x216ed2,1,high,9,0x23a5e4,0x6c,heroWindow,30,6,27,1,0x2c50
TAdventureOptionsWindow,0x64,,,,,,lower-bound,15,,0x5c,CAdvPopup,6,6,4,1,0x159140
TCampaignBrief,0x70,,,,,,lower-bound,9,0x23bc2c,0x50,heroWindow,3,1,2,0,
TCampaignMenu,0x30,,,,,,lower-bound,9,,,,2,2,1,0,
TCampaignWindow,,,,,,,lower-bound,9,,0x58,heroWindow,1,1,0,0,
TCombatResultsWindow,0x30,,,,,,lower-bound,9,,0x44,heroWindow,3,3,2,0,
TDialogBox,0x492,0x54,,0x54,0x216ed2,2,low,10,0x23db40,0x4c,heroWindow,5,2,4,0,
TGzFile,0x8,0x8,,0x8,0x216ed2,1,high,3,0x23dac0,,,5,3,2,2,0xd6d80 0xd6da0
TGzInflateBuf,0x83,,,,,,lower-bound,13,0x2456a8,,,12,11,5,5,0x54050 0x54060 0x54200 0x54230 0x54270
THeroScreenWindow,0x64,,,,,,lower-bound,15,,,,4,3,2,1,0xdd2a0
THighScoreWindow,,,,,,,lower-bound,9,,0x10c,heroWindow,1,1,0,0,
TPalette16,0x32,0x21c,,0x21c,0x216ed2,1,low,3,0x240374,0x41c,resource,17,2,13,2,0x122b40 0x122f70
TPalette24,0x3d,0x31c,,0x31c,0x216ed2,4,medium,3,0x240374,0x31c,resource,5,0,5,0,
TPickANumber,0x18,,,,,,lower-bound,,,0x1c,,2,0,2,0,
TPlayerSlotAttributes,0x44,,,,,,lower-bound,,,,,2,0,2,0,
TQuestGuard,0x13,,,,,,lower-bound,,,,,5,0,5,0,
TResourceDisplay,0x78,0x78,,0x78,0x216ed2,8,high,,,0x74,TSubWindow,5,0,4,1,0x1590d0
TSeerReward,0xc,,,,,,lower-bound,,,,,3,0,3,0,
TSkuttleBoatWindow,0x4,,,,,,lower-bound,15,,0x5c,CAdvPopup,3,3,1,1,0x91eb0
TSplitWindow,0x80,,,,,,lower-bound,15,0x23b8f8,,,5,0,2,1,0x4a460
TSpreadsheetResource,0x50,0x34,,0x34,0x216ed2,4,medium,3,0x242da4,0x2c,resource,6,4,5,0,
TStreamBufFile,0x8,,,,,,lower-bound,3,,,,3,3,2,0,
TSubWindow,0x34,,,,,,lower-bound,,,0x30,,10,2,9,0,
TTextResource,0x34,0x30,,0x30,0x216ed2,4,medium,3,0x242d98,0x2c,resource,4,2,3,0,
VictoryConditionStruct,0x4a,,,,,,lower-bound,3,0x2455cc,0x24,,16,0,16,0,
_Locimp@locale@std,,,,,,,lower-bound,7,,,,5,5,0,4,0x8ebd0 0x8ebe0 0x8ebf0 0x8ec10
_ResourceManager,0x1,,,,,,lower-bound,3,0x241134,,,1,0,1,0,
advManager,0x3b8,0x3b8,,0x3b8,0x216ed2,1,high,3,0x23a678,0x3c0,baseManager,70,3,57,11,0xf8c0 0x17570 0xa76c0 0xa7c30 0xa7de0 0xa7fc0 0xa8080 0xa8230 0xa8390 0xaadf0 0xab410
army,0x548,,,,,,lower-bound,,,0x510,,87,0,77,3,0xb4420 0x123f60 0x199ec0
armyGroup,0x20,,,,,,lower-bound,,,0x38,,27,0,16,1,0x4b2d0
bad_alloc@std,,,,,,,lower-bound,7,,,,4,4,0,3,0x20e5da 0x20e5dd 0x20e5e1
baseManager,0x38,,,,,,lower-bound,3,0x23b9bc,0x38,,1,0,1,0,
bitmapBackedTextWidget,0x54,,,,,,lower-bound,14,0x242db0,0x54,textWidget,3,1,3,0,
bitmapBorder,0x34,,,,,,lower-bound,14,0x23ba24,0x38,border,11,6,9,1,0x50520
bitmapBorder16,0x34,,,,,,lower-bound,14,0x23bacc,0x38,border,6,3,5,0,
boat,0x1c,,,,,,lower-bound,,,0x28,type_obscuring_object,1,0,1,0,
border,0x30,0x38,,0x38,0x216ed2,4,medium,13,0x243c90,0x34,widget,8,4,4,3,0x4df0 0xeab10 0x1fe9d0
button,0x68,0x68,,0x68,0x216ed2,59,high,13,0x23bb54,0x60,widget,10,3,8,1,0x569e0
coloredBorderFrame,0x35,,,,,,lower-bound,14,0x23ba5c,0x3c,border,4,3,3,0,
combatManager,0x24c,0x140ec,,0x140ec,0x216ed2,1,low,3,0x23d3e8,,,63,3,17,4,0x22440 0x647a0 0x772b0 0x94390
exception,0xc,,,,,,lower-bound,2,0x245d30,,,4,0,4,0,
exe_filebuf,0x54,,,,,,lower-bound,,,,,13,9,10,0,
exe_scoped_lock,,,,,,,lower-bound,,,,,1,0,0,1,0x20b634
exe_streambuf,,,,,,,lower-bound,,,,,2,2,0,1,0x54070
exe_strstreambuf,0x50,,,,,,lower-bound,13,0x245670,,,2,0,2,0,
executive,0x10,0x10,,0x10,0x216ed2,1,high,,,0x10,,7,0,6,1,0xb0660
font,0x1c8,0x1260,,0x1260,0x216ed2,1,low,,,0x145c,resource,13,0,5,1,0xb5b90
game,0xa4,0x4e7d0,,0x4e7d0,0x216ed2,3,medium,6,0x23de74,,,50,0,1,1,0xcec90
generator,0x59,,,,,,lower-bound,,,0x5c,,6,0,6,0,
hero,0x492,0x492,,0x492,0x216ed2,4,high,3,0x2455cc,0x474,type_obscuring_object,82,0,77,0,
heroWindow,0x4c,,,,,,lower-bound,9,0x243cc4,0x44,,21,1,20,0,
heroWindowManager,0x60,,,,,,lower-bound,,,0x68,baseManager,7,0,7,0,
hexcell,0x4e,,,,,,lower-bound,,,0x70,,3,0,2,0,
highScoreManager,,,,,,,lower-bound,3,,,,1,1,0,0,
iconWidget,0x46,,,,,,lower-bound,14,0x23ec48,0x4c,widget,8,3,7,0,
inputManager,0x960,0x960,,0x960,0x216ed2,1,high,3,0x23fe10,0xb80,baseManager,11,0,8,2,0xec560 0xeccd0
istrstream@std,,,,,,,lower-bound,13,,,,1,1,0,0,
logic_error@std,0x1c,,,,,,lower-bound,3,,,,3,3,2,0,
mouseManager,0x78,0x90,,0x90,0x216ed2,1,low,4,0x240028,0x8c,baseManager,11,1,9,1,0x10d500
playerData,0xf4,,,,,,lower-bound,,,0x158,,21,0,20,1,0xbab90
recruitUnit,0xbc,0xbc,,0xbc,0x216ed2,11,high,3,0x240c70,0xbc,baseManager,6,1,4,1,0x151750
resource,0x1c,,,,,,lower-bound,3,0x240ffc,0x1c,,3,0,3,0,
sample,0x60,0x34,,0x34,0x216ed2,4,medium,3,0x2416d0,0x10,,9,4,4,3,0x4140 0x167050 0x167110
searchArray,0x70,0x70,,0x70,0x216ed2,1,high,,,0x64,,10,0,10,0,
slider,0x68,,,,,,lower-bound,17,0x241d50,0x6c,widget,11,9,10,0,
soundManager,0x8d,0xd8,,0xd8,0x216ed2,1,low,3,0x23fe54,0x490,baseManager,15,2,11,0,
std::D::?$_Mpunct,0x29,,,,,,lower-bound,,,,,1,0,1,0,
std::D::?$collate,,,,,,,lower-bound,,,,,3,0,0,3,0x214222 0x214260 0x21432f
std::D::?$ctype,0x18,,,,,,lower-bound,,,,,1,0,1,0,
std::D::?$numpunct,0x18,,,,,,lower-bound,,,,,1,0,1,0,
std::D::DU?$char_traits::?$basic_string,0xc,,,,,,lower-bound,,,,,1,0,1,0,
std::G::?$_Mpunct,0x29,,,,,,lower-bound,,,,,1,0,1,0,
std::G::?$collate,,,,,,,lower-bound,,,,,3,0,0,3,0x20f4cd 0x20f510 0x20f5e7
std::G::?$ctype,0x14,0x18,,0x18,0x216ed2,1,low,13,0x245a58,,,8,0,4,4,0x20e77a 0x20e789 0x20e7c3 0x2133e7
std::G::?$numpunct,0x18,,,,,,lower-bound,,,,,1,0,1,0,
std::G::GU?$char_traits::?$basic_string,0x10,,,,,,lower-bound,,,,,10,0,9,1,0x2125bc
std::GDH::?$codecvt,,,,,,,lower-bound,,,,,3,0,0,0,
std::_Locinfo,0x31,,,,,,lower-bound,,,,,6,0,3,3,0x20bebf 0x20bf78 0x20ffd0
std::_Lockit,,,,,,,lower-bound,,,,,1,0,0,0,
std::_Winit,,,,,,,lower-bound,,,,,1,0,0,1,0x20d114
std::ios_base,0x28,,,,,,lower-bound,3,0x2455fc,,,6,0,4,2,0x20acc0 0x20adea
std::ios_base::Init,,,,,,,lower-bound,,,,,1,0,0,1,0x20cb8f
std::istrstream,,,,,,,lower-bound,,,,,1,0,0,1,0x20af24
std::locale,0x4,,,,,,lower-bound,,,,,3,0,2,1,0x20b9a0
std::locale::_Locimp,,0x28,,0x28,0x216ed2,1,low,,,,,4,0,0,4,0x20b80f 0x20b89d 0x20bcec 0x20be0c
std::ostrstream,,,,,,,lower-bound,,,,,1,0,0,1,0x20af6a
std::strstreambuf,0x50,,,,,,lower-bound,13,0x245670,,,9,0,8,1,0x20afb0
strip,0x78,0x78,,0x78,0x216ed2,21,high,,,,,5,0,5,0,
t_abstract_random_generator,,,,,,,lower-bound,9,,,,1,1,0,0,
t_lod_file_adapter,0x8,,,,,,lower-bound,,,,,2,2,1,0,
textButton,0x70,0x70,,0x70,0x216ed2,45,high,13,0x23bb88,0x68,button,4,1,3,0,
textEntryWidget,0x6f,,,,,,lower-bound,19,0x242d40,0x70,textWidget,6,2,4,1,0x1baba0
textWidget,0x50,,,,,,lower-bound,14,0x242db0,0x50,widget,3,0,2,0,
town,0x168,0x168,,0x168,0x216ed2,1,high,,,0x160,,28,0,25,1,0x1bdf60
type_AI_attack_hex_chooser,0x2c,,,,,,lower-bound,,,0x2c,,4,0,4,0,
type_AI_combat_data,0x34,,,,,,lower-bound,,,0x30,,26,0,26,0,
type_AI_combat_parameters,0x28,,,,,,lower-bound,,,0x28,,6,0,6,0,
type_AI_player,0x44,,,,,,lower-bound,3,0x23b67c,0x98,,7,0,5,1,0x29910
type_AI_spellcaster,0x2e0,,,,,,lower-bound,1,0x23b7d8,0x410,,31,0,28,0,
type_angelic_alliance_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_antiluck_artifact,,,,,,,lower-bound,2,,,,1,1,0,1,0x32ba0
type_antimagic_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_antimorale_artifact,,,,,,,lower-bound,2,,,,1,1,0,1,0x32b20
type_artifact,0x4,,,,,,lower-bound,,,0x8,,3,0,2,0,
type_artifact_effect,0x4,,,,,,lower-bound,2,0x23b6b0,,,3,2,2,1,0x217d9a
type_artifact_quest,0x50,,,,,,lower-bound,,,,,12,12,11,0,
type_be_hero_quest,0x44,,,,,,lower-bound,,,,,8,8,6,2,0x171f20 0x171fc0
type_belong_to_player_quest,0x44,,,,,,lower-bound,,,,,8,8,5,3,0x172510 0x1725b0 0x172650
type_bottom_view_window,0x28,0x34,,0x34,0x216ed2,1,low,2,0x23bb04,0x30,TSubWindow,2,1,1,0,
type_combat_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_creature_growth_artifact,0xc,,,,,,lower-bound,2,,,,1,1,1,0,
type_creature_quest,0x60,,,,,,lower-bound,,,,,12,12,11,0,
type_defeat_hero_quest,0x4c,,,,,,lower-bound,,,,,9,9,7,2,0x16e410 0x16e4b0
type_duration_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_elixir_of_life_artifact,,,,,,,lower-bound,2,,,,1,1,0,1,0x33520
type_enchant_data,0x8,,,,,,lower-bound,,,0x14,,1,0,1,0,
type_event_record,0x4,,,,,,lower-bound,6,0x23de74,,,3,3,1,0,
type_experience_quest,0x44,,,,,,lower-bound,,,,,10,10,9,0,
type_func_button,0x6c,0x6c,,0x6c,0x216ed2,52,high,13,0x23bbbc,,,5,1,3,0,
type_garrison_purchaser,0x8,,,,,,lower-bound,3,,0x8,type_town_threat_checker,1,1,1,0,
type_income_artifact,0xc,,,,,,lower-bound,2,,,,1,1,1,0,
type_info,0x8,,,,,,lower-bound,,,,,1,0,1,0,
type_knowledge_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_luck_artifact,,,,,,,lower-bound,2,,,,1,1,0,1,0x327f0
type_might_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_monster,0x25,,,,,,lower-bound,4,,,,1,1,1,0,
type_monster_data,0x44,,,,,,lower-bound,,,0x48,,4,0,4,0,
type_monster_quest,0x50,,,,,,lower-bound,,,,,9,9,9,0,
type_morale_artifact,,,,,,,lower-bound,2,,,,1,1,0,1,0x32780
type_movement_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_necromancy_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_object,0x25,,,,,,lower-bound,4,,,,3,3,1,1,0x84620
type_obscuring_object,0x18,,,,,,lower-bound,,,0x18,,8,0,6,0,
type_point,0x4,,,,,,lower-bound,,,0x4,,2,0,1,1,0xb1090
type_power_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_quest,0x40,,,,,,lower-bound,,,,,4,4,3,0,
type_record_claim_mine,0xe,,,,,,lower-bound,6,,,,5,5,2,1,0x16e3d0
type_record_claim_town,0xe,,,,,,lower-bound,6,,,,3,3,2,1,0x16ebc0
type_record_erase,0x16,,,,,,lower-bound,6,,,,5,5,2,1,0x9b180
type_record_hide_boat,0x18,,,,,,lower-bound,6,,,,5,5,4,1,0x9acf0
type_record_hide_hero,0xf,,,,,,lower-bound,6,,,,5,5,4,1,0x1721f0
type_record_move_hero,0x16,,,,,,lower-bound,6,,,,6,6,4,1,0x9a680
type_record_player_death,0x9,,,,,,lower-bound,6,,,,4,4,1,1,0x9ba30
type_record_show_boat,0x20,,,,,,lower-bound,6,,,,5,5,4,1,0x9af30
type_record_show_hero,0x1a,,,,,,lower-bound,6,,,,5,5,4,1,0x172810
type_record_shroud,0x18,,,,,,lower-bound,6,,,,6,6,4,1,0x9bc80
type_record_teleport,0x16,,,,,,lower-bound,6,,,,2,2,1,1,0x9a9b0
type_resource_quest,0x44,,,,,,lower-bound,,,,,11,11,10,1,0x171560
type_school_artifact,0xc,,,,,,lower-bound,2,,,,1,1,1,0,
type_scouting_artifact,0x8,,,,,,lower-bound,2,,,,2,2,1,0,
type_shooter_bonus_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_skill_quest,0x41,,,,,,lower-bound,,,,,9,9,8,0,
type_spell_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_spell_choice,0x21,,,,,,lower-bound,,,0x24,type_enchant_data,2,0,2,0,
type_spellcaster_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
type_spellvalue,0x24,,,,,,lower-bound,,,0x20,,6,0,6,0,
type_statue_of_legion_artifact,,,,,,,lower-bound,2,,,,1,1,0,1,0x33580
type_text_scroller,0x5c,,,,,,lower-bound,13,0x242d0c,,,5,3,4,0,
type_text_slider,0x40,,,,,,lower-bound,,,,,2,2,1,0,
type_tome_artifact,,,,,,,lower-bound,2,,,,1,1,0,1,0x32c20
type_town_threat_checker,,,,,,,lower-bound,3,,0x8,,2,2,0,2,0x28260 0x28570
type_undead_king_cloak_artifact,0x8,,,,,,lower-bound,2,,,,1,1,1,0,
widget,0x30,,,,,,lower-bound,13,0x243c90,0x34,,12,1,12,0,
