# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: every method that fed (or failed to feed) a class union - the audit trail behind struct_layouts.csv; `src` is the naming corpus that attributed the address to the class
class,rva,name,src,outcome
?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std,0x2143c6,?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std::vslot3,vtable-slot,decompile-failed
?$money_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std,0x2143c9,?do_get@?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@MBE?AV?$istreambuf_iterator@DU?$char_traits@D@std@@@2@V32@0_NAAVios_base@2@AAHAAO@Z,vtable-slot,decompile-failed
?$money_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std,0x2144f7,?$money_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std::vslot1,vtable-slot,decompile-failed
?$money_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std,0x20f67a,?do_get@?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@MBE?AV?$istreambuf_iterator@GU?$char_traits@G@std@@@2@V32@0_NAAVios_base@2@AAHAAO@Z,vtable-slot,decompile-failed
?$money_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std,0x20f7af,?$money_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std::vslot1,vtable-slot,decompile-failed
Bitmap16Bit,0x4dd20,Bitmap16Bit::Bitmap16Bit,function-names,decompile-failed
Bitmap16Bit,0x4df70,Bitmap16Bit::Bitmap16Bit,hd-name-map,probed:12
Bitmap16Bit,0x4e020,Bitmap16Bit::vslot0,vtable-slot,probed:0
Bitmap16Bit,0x4e050,Bitmap16Bit::Bitmap16Bit,hd-name-map,probed:12
Bitmap16Bit,0x4e240,Bitmap16Bit::vslot2,vtable-slot,probed:1
Bitmap16Bit,0x4e2b0,Bitmap16Bit::Draw,dc-name-map,probed:2
Bitmap16Bit,0x4e3f0,Bitmap16Bit::Grab,dc-name-map,probed:4
Bitmap16Bit,0x4e4c0,Bitmap16Bit::FillRect,dc-name-map,probed:4
Bitmap16Bit,0x4e540,Bitmap16Bit::FrameRect,dc-name-map,probed:4
Bitmap16Bit,0x4e5f0,Bitmap16Bit::Darken,hd-name-map,probed:4
Bitmap16Bit,0x4e6a0,Bitmap16Bit::Darken,hd-name-map,probed:4
Bitmap16Bit,0x4e780,Bitmap16Bit::Colorize,hd-name-map,probed:4
Bitmap16Bit,0x4e940,Bitmap16Bit::Colorize,hd-name-map,probed:4
Bitmap16Bit,0x15d0f0,Bitmap16Bit::vslot1,vtable-slot,probed:3
Bitmap24Bit,0x4ed20,Bitmap24Bit::vslot0,vtable-slot,probed:0
Bitmap24Bit,0x4ed50,Bitmap24Bit::Bitmap24Bit,hd-name-map,probed:10
Bitmap24Bit,0x4ee00,Bitmap24Bit::Bitmap24Bit,hd-name-map,probed:10
Bitmap24Bit,0x4efd0,Bitmap24Bit::Draw,hd-name-map,probed:2
Bitmap24Bit,0x4f010,Bitmap24Bit::Draw,hd-name-map,probed:2
Bitmap24Bit,0x4f180,Bitmap24Bit::vslot2,vtable-slot,probed:1
Bitmap816,0x4f7d0,Bitmap816::vslot0,vtable-slot,probed:0
Bitmap816,0x4f800,Bitmap816::?,hd-name-map,probed:11
Bitmap816,0x4f8d0,Bitmap816::?,hd-name-map,probed:11
Bitmap816,0x4f9d0,Bitmap816::~Bitmap816,dc-name-map,probed:2
Bitmap816,0x4fdb0,Bitmap816::?,hd-name-map,decompile-failed
Bitmap816,0x4fdf0,Bitmap816::vslot3,vtable-slot,decompile-failed
Bitmap816,0x4fe30,Bitmap816::vslot2,vtable-slot,probed:1
Bitmap816,0x4fe40,Bitmap816::SetPalette,hd-name-map,probed:1
Bitmap816,0x4fe60,Bitmap816::SetPalette,hd-name-map,probed:0
Bitmap816,0x4fe80,Bitmap816::ResetPalette,dc-name-map,probed:1
CAdvMgrNetMsgHandler,0x5e30,CAdvMgrNetMsgHandler::vslot3,vtable-slot,probed:3
CAdvMgrNetMsgHandler,0x6bf0,CAdvMgrNetMsgHandler::vslot4,vtable-slot,decompile-failed
CAdvMgrNetMsgHandler,0x77b0,CAdvMgrNetMsgHandler::vslot0,vtable-slot,probed:0
CAdvMgrNetMsgHandler,0x157860,CAdvMgrNetMsgHandler::vslot1,vtable-slot,probed:3
CAdvMgrNetMsgHandler,0x157900,CAdvMgrNetMsgHandler::vslot2,vtable-slot,probed:1
CAdvPopup,0x1b040,CAdvPopup::CAdvPopup,dc-name-map,probed:24
CAdvPopup,0x1b0e0,CAdvPopup::vslot0,vtable-slot,probed:0
CAdvPopup,0x1b120,CAdvPopup::~CAdvPopup,hd-name-map,probed:6
CAdvPopup,0x1b1c0,CAdvPopup::vslot9,vtable-slot,probed:1
CAdventurMapChatEdit,0x21d0,CAdventurMapChatEdit::vslot5,vtable-slot,probed:1
CAdventurMapChatEdit,0x21e0,CAdventurMapChatEdit::vslot6,vtable-slot,probed:1
CAdventurMapChatEdit,0x21f0,CAdventurMapChatEdit::vslot15,vtable-slot,probed:2
CAdventurMapChatEdit,0x2240,CAdventurMapChatEdit::vslot21,vtable-slot,probed:3
CAdventurMapChatEdit,0x2280,CAdventurMapChatEdit::vslot25,vtable-slot,probed:3
CAdventurMapChatEdit,0x22b0,CAdventurMapChatEdit::vslot26,vtable-slot,probed:4
CAdventurMapChatEdit,0x22e0,CAdventurMapChatEdit::vslot24,vtable-slot,probed:1
CAdventurMapChatEdit,0x85d80,CAdventurMapChatEdit::vslot12,vtable-slot,decompile-failed
CAdventurMapChatEdit,0x154200,CAdventurMapChatEdit::vslot19,vtable-slot,probed:6
CAdventurMapChatEdit,0x154330,CAdventurMapChatEdit::vslot22,vtable-slot,probed:3
CAdventurMapChatEdit,0x154380,CAdventurMapChatEdit::vslot20,vtable-slot,probed:3
CAdventurMapChatEdit,0x1543e0,CAdventurMapChatEdit::vslot23,vtable-slot,probed:1
CAdventurMapChatEdit,0x1543f0,CAdventurMapChatEdit::vslot16,vtable-slot,decompile-failed
CAdventurMapChatEdit,0x17cd90,CAdventurMapChatEdit::vslot0,vtable-slot,probed:0
CAdventurMapChatEdit,0x1bb150,CAdventurMapChatEdit::vslot2,vtable-slot,probed:13
CAdventurMapChatEdit,0x1bb400,CAdventurMapChatEdit::vslot4,vtable-slot,probed:19
CAdventurMapChatEdit,0x1bb950,CAdventurMapChatEdit::vslot13,vtable-slot,probed:4
CAdventurMapChatEdit,0x1bba50,CAdventurMapChatEdit::vslot10,vtable-slot,probed:1
CAdventurMapChatEdit,0x1bba60,CAdventurMapChatEdit::vslot11,vtable-slot,probed:1
CAdventurMapChatEdit,0x1bba70,CAdventurMapChatEdit::vslot18,vtable-slot,probed:4
CAdventurMapChatEdit,0x1bbac0,CAdventurMapChatEdit::vslot17,vtable-slot,probed:5
CAdventurMapChatEdit,0x1bc690,CAdventurMapChatEdit::vslot8,vtable-slot,decompile-failed
CAdventurMapChatEdit,0x1bc7e0,CAdventurMapChatEdit::vslot3,vtable-slot,decompile-failed
CAutoArray<CDPlaySession>,0x112670,CAutoArray<CDPlaySession>::vslot0,vtable-slot,probed:4
CChatEdit,0x1541a0,CChatEdit::?,hd-name-map,probed:22
CChatEdit,0x154240,CChatEdit::vslot15,vtable-slot,probed:20
CChatEdit,0x1543c0,CChatEdit::vslot21,vtable-slot,probed:1
CChatManager,0x153d00,CChatManager::UpdateWidget,dc-name-map,probed:10
CChatManager,0x153db0,CChatManager::HasOldChat,dc-name-map,probed:3
CChatManager,0x153df0,CChatManager::KillOldChat,dc-name-map,probed:7
CChatManager,0x153ee0,CChatManager::UpdateWidgetText,dc-name-map,probed:6
CChatManager,0x154050,CChatManager::PauseTimeOuts,dc-name-map,probed:1
CChatManager,0x154060,CChatManager::ResumeTimeOuts,dc-name-map,probed:2
CChatManager,0x1540b0,CChatManager::ClearChat,dc-name-map,probed:3
CChatManager,0x1540d0,CChatManager::SetMaxLines,dc-name-map,probed:5
CChatManager,0x154170,CChatManager::SetPosition,dc-name-map,probed:3
CChatManager,0x1544b0,CChatManager::ClearChat,function-names,decompile-failed
CCombatChatEdit,0x72600,CCombatChatEdit::vslot15,vtable-slot,probed:8
CCombatChatEdit,0x726b0,CCombatChatEdit::vslot24,vtable-slot,probed:3
CCombatChatEdit,0x727f0,CCombatChatEdit::vslot21,vtable-slot,probed:3
CCombatChatEdit,0x72850,CCombatChatEdit::vslot19,vtable-slot,probed:7
CDPlay,0x96c70,CDPlay::vslot30,vtable-slot,probed:4
CDPlay,0x96ca0,CDPlay::vslot31,vtable-slot,probed:0
CDPlay,0x96cb0,CDPlay::vslot36,vtable-slot,probed:1
CDPlay,0x96cc0,CDPlay::vslot42,vtable-slot,decompile-failed
CDPlay,0x96cd0,CDPlay::vslot44,vtable-slot,decompile-failed
CDPlay,0x96ce0,CDPlay::vslot0,vtable-slot,probed:2
CDPlay,0x96d30,CDPlay::vslot1,vtable-slot,probed:2
CDPlay,0x96d70,CDPlay::vslot2,vtable-slot,probed:2
CDPlay,0x96db0,CDPlay::vslot3,vtable-slot,probed:8
CDPlay,0x96e60,CDPlay::vslot4,vtable-slot,probed:8
CDPlay,0x96f20,CDPlay::vslot24,vtable-slot,probed:2
CDPlay,0x96f90,CDPlay::vslot23,vtable-slot,probed:2
CDPlay,0x96fc0,CDPlay::vslot7,vtable-slot,probed:3
CDPlay,0x97040,CDPlay::vslot8,vtable-slot,probed:2
CDPlay,0x97070,CDPlay::vslot9,vtable-slot,probed:2
CDPlay,0x970e0,CDPlay::vslot20,vtable-slot,probed:2
CDPlay,0x97150,CDPlay::vslot10,vtable-slot,probed:2
CDPlay,0x97180,CDPlay::vslot11,vtable-slot,probed:2
CDPlay,0x971b0,CDPlay::vslot25,vtable-slot,probed:3
CDPlay,0x97250,CDPlay::vslot5,vtable-slot,probed:2
CDPlay,0x97290,CDPlay::vslot6,vtable-slot,probed:2
CDPlay,0x972c0,CDPlay::vslot27,vtable-slot,probed:3
CDPlay,0x97340,CDPlay::vslot28,vtable-slot,probed:3
CDPlay,0x973c0,CDPlay::vslot29,vtable-slot,probed:3
CDPlay,0x97440,CDPlay::vslot26,vtable-slot,probed:7
CDPlay,0x97500,CDPlay::vslot33,vtable-slot,probed:2
CDPlay,0x97560,CDPlay::vslot32,vtable-slot,probed:2
CDPlay,0x975b0,CDPlay::vslot34,vtable-slot,probed:3
CDPlay,0x976b0,CDPlay::vslot37,vtable-slot,probed:2
CDPlay,0x977c0,CDPlay::vslot60,vtable-slot,probed:1
CDPlay,0x97910,CDPlay::vslot43,vtable-slot,probed:1
CDPlay,0x97a90,CDPlay::vslot58,vtable-slot,probed:1
CDPlay,0x97b00,CDPlay::vslot59,vtable-slot,probed:1
CDPlay,0x97b70,CDPlay::vslot61,vtable-slot,probed:1
CDPlay,0x97c50,CDPlay::vslot35,vtable-slot,decompile-failed
CDPlay,0x981d0,CDPlay::vslot55,vtable-slot,probed:1
CDPlay,0x981e0,CDPlay::vslot56,vtable-slot,decompile-failed
CDPlay,0x981f0,CDPlay::vslot21,vtable-slot,probed:2
CDPlay,0x98220,CDPlay::vslot22,vtable-slot,probed:2
CDPlay,0x98250,CDPlay::vslot14,vtable-slot,probed:2
CDPlay,0x982a0,CDPlay::vslot19,vtable-slot,probed:2
CDPlay,0x983c0,CDPlay::vslot13,vtable-slot,probed:2
CDPlay,0x983f0,CDPlay::vslot16,vtable-slot,probed:2
CDPlay,0x984b0,CDPlay::vslot12,vtable-slot,probed:2
CDPlay,0x98500,CDPlay::vslot17,vtable-slot,probed:2
CDPlay,0x98620,CDPlay::vslot15,vtable-slot,probed:2
CDPlay,0x98650,CDPlay::vslot18,vtable-slot,probed:2
CDPlay,0x98710,CDPlay::vslot38,vtable-slot,probed:2
CDPlay,0x987a0,CDPlay::vslot39,vtable-slot,probed:2
CDPlay,0x987f0,CDPlay::vslot40,vtable-slot,probed:2
CDPlay,0x98830,CDPlay::vslot41,vtable-slot,probed:2
CDPlayLobby,0x98900,CDPlayLobby::vslot0,vtable-slot,probed:0
CDPlayLobby,0x989a0,CDPlayLobby::vslot62,vtable-slot,probed:2
CDPlayLobby,0x98a60,CDPlayLobby::vslot1,vtable-slot,probed:3
CDPlayLobby,0x98c20,CDPlayLobby::vslot64,vtable-slot,probed:2
CDPlayLobby,0x98c50,CDPlayLobby::vslot65,vtable-slot,probed:2
CDPlayLobby,0x99900,CDPlayLobby::vslot63,vtable-slot,probed:3
CDPlayLobby,0x999a0,CDPlayLobby::vslot66,vtable-slot,probed:3
CDPlayLobby,0x99a20,CDPlayLobby::vslot67,vtable-slot,probed:3
CDPlayLobby,0x99aa0,CDPlayLobby::vslot68,vtable-slot,probed:3
CDPlayLobby,0x99b20,CDPlayLobby::vslot69,vtable-slot,probed:3
CDPlayLobby,0x99bb0,CDPlayLobby::vslot72,vtable-slot,probed:1
CDPlayLobby,0x99c60,CDPlayLobby::vslot70,vtable-slot,probed:1
CHeroWindowEx,0x1b110,CHeroWindowEx::~CHeroWindowEx,hd-name-map,probed:5
CHeroWindowEx,0x1ff640,CHeroWindowEx::CHeroWindowEx,dc-name-map,probed:20
CHeroWindowEx,0x1ff6b0,CHeroWindowEx::ProcessHover,dc-name-map,probed:0
CHeroWindowEx,0x1ff6e0,CHeroWindowEx::ProcessRightSelect,dc-name-map,probed:6
CHeroWindowEx,0x1ff790,CHeroWindowEx::WindowHandler,dc-name-map,probed:1
CHeroWindowEx,0x1ff820,CHeroWindowEx::OnWidgetDeselect,dc-name-map,probed:1
CHeroWindowEx,0x1ff8d0,CHeroWindowEx::GetRolloverWidget,dc-name-map,decompile-failed
CHeroWindowEx,0x1ff8e0,CHeroWindowEx::SetHelpText,dc-name-map,probed:1
CHighScoreEdit,0xe9710,CHighScoreEdit::vslot15,vtable-slot,probed:20
CHighScoreEdit,0x110850,CHighScoreEdit::vslot19,vtable-slot,probed:2
CHighScoreEdit,0x110870,CHighScoreEdit::vslot20,vtable-slot,probed:2
CHighScoreEdit,0x110890,CHighScoreEdit::vslot14,vtable-slot,probed:8
CHighScoreEdit,0x1bba20,CHighScoreEdit::vslot16,vtable-slot,decompile-failed
CMCDeadHero,0xe66c0,CMCDeadHero::CMCDeadHero,dc-name-map,probed:1
CNetMsgHandler,0x158490,CNetMsgHandler::vslot0,vtable-slot,probed:4
CNetMsgHandlerPause,0x157810,CNetMsgHandlerPause::vslot0,vtable-slot,probed:1
CObject,0xfec10,CObject::get_object_type_ptr,dc-name-map,probed:1
CObject,0xfec30,CObject::FindTrigger,dc-name-map,probed:3
CSequence,0x7b840,CSequence::CSequence,hd-name-map,probed:3
CSequence,0x7b8a0,CSequence::AddFrame,hd-name-map,probed:3
CSprite,0x7b480,CSprite::AddFrame,function-names,probed:0
CSprite,0x7b820,CSprite::?,function-names,decompile-failed
CSprite,0x7b8f0,CSprite::vslot0,vtable-slot,probed:0
CSprite,0x7b920,CSprite::CSprite,hd-name-map,probed:12
CSprite,0x7ba40,CSprite::?,function-names,probed:6
CSprite,0x7baf0,CSprite::GetNumSeqs,function-names,static
CSprite,0x7bb60,CSprite::AddFrame,hd-name-map,probed:1
CSprite,0x7bb80,CSprite::SetPalette,dc-name-map,probed:1
CSprite,0x7bc00,CSprite::ResetPalette,dc-name-map,probed:2
CSprite,0x7bcf0,CSprite::?,hd-name-map,probed:1
CSprite,0x7bd60,CSprite::?,hd-name-map,probed:2
CSprite,0x7bdc0,CSprite::?,hd-name-map,probed:2
CSprite,0x7be10,CSprite::?,hd-name-map,probed:2
CSprite,0x7be60,CSprite::?,hd-name-map,probed:2
CSprite,0x7beb0,CSprite::?,hd-name-map,probed:2
CSprite,0x7bf00,CSprite::?,hd-name-map,probed:1
CSprite,0x7bff0,CSprite::?,hd-name-map,probed:2
CSprite,0x7c080,CSprite::?,hd-name-map,probed:2
CSprite,0x7c0d0,CSprite::?,hd-name-map,probed:2
CSprite,0x7c120,CSprite::?,hd-name-map,probed:2
CSprite,0x7c170,CSprite::?,hd-name-map,probed:2
CSprite,0x7c1d0,CSprite::GetNumSeqs,dc-name-map,probed:0
CSprite,0x15d1a0,CSprite::vslot1,vtable-slot,probed:7
CSpriteFrame,0x7bd50,CSpriteFrame::~CSpriteFrame,function-names,decompile-failed
CSpriteFrame,0x7c280,CSpriteFrame::vslot0,vtable-slot,probed:0
CSpriteFrame,0x7c2b0,CSpriteFrame::?,hd-name-map,probed:16
CSpriteFrame,0x7c360,CSpriteFrame::?,hd-name-map,probed:16
CSpriteFrame,0x7c430,CSpriteFrame::~CSpriteFrame,dc-name-map,probed:2
CSpriteFrame,0x7c460,CSpriteFrame::SetPixelFormat,dc-name-map,probed:0
CSpriteFrame,0x7c560,CSpriteFrame::vslot2,vtable-slot,probed:1
CSpriteFrame,0x7c9e0,CSpriteFrame::?,hd-name-map,probed:9
CSpriteFrame,0x7d0a0,CSpriteFrame::?,hd-name-map,probed:9
CSpriteFrame,0x7d4f0,CSpriteFrame::?,hd-name-map,probed:6
CSpriteFrame,0x7d930,CSpriteFrame::?,hd-name-map,probed:6
CSpriteFrame,0x7dd40,CSpriteFrame::?,hd-name-map,probed:9
CSpriteFrame,0x7e820,CSpriteFrame::?,hd-name-map,probed:8
CSpriteFrame,0x7ef60,CSpriteFrame::?,hd-name-map,probed:9
CTextDialog,0x90740,CTextDialog::vslot0,vtable-slot,probed:0
CTextDialog,0x907e0,CTextDialog::CTextDialog,hd-name-map,probed:20
CTextDialog,0x90820,CTextDialog::vslot10,vtable-slot,probed:12
CTextDialog,0x90a90,CTextDialog::vslot12,vtable-slot,decompile-failed
CTextDialog,0x90b20,CTextDialog::ExitDialog,dc-name-map,decompile-failed
CTextDialog,0x90b50,CTextDialog::vslot11,vtable-slot,probed:1
CTextEntrySave,0x1bbb70,CTextEntrySave::vslot0,vtable-slot,probed:0
CTextEntrySave,0x1bbe20,CTextEntrySave::vslot2,vtable-slot,probed:2
CTurnDuration,0x157a80,CTurnDuration::IsOn,dc-name-map,probed:1
CTurnDuration,0x157aa0,CTurnDuration::IsExpired,dc-name-map,probed:3
CTurnDuration,0x157af0,CTurnDuration::CheckForWarning,dc-name-map,probed:5
CTurnDuration,0x157d00,CTurnDuration::IsClose,dc-name-map,probed:3
CTurnDuration,0x157d60,CTurnDuration::Clear,dc-name-map,probed:3
CTurnDuration,0x157d70,CTurnDuration::SetDuration,dc-name-map,probed:2
CTurnDuration,0x157d90,CTurnDuration::Start,dc-name-map,probed:4
CTurnDuration,0x157dd0,CTurnDuration::Pause,dc-name-map,probed:2
CTurnDuration,0x157df0,CTurnDuration::Resume,dc-name-map,probed:3
CampaignHeaderStruct,0x886a0,CampaignHeaderStruct::~CampaignHeaderStruct,hd-name-map,probed:12
CampaignHeaderStruct,0x88880,CampaignHeaderStruct::noexcept,hd-name-map,probed:11
ExtraInfoUnion,0x5d80,ExtraInfoUnion::get_creature_bank,function-names,decompile-failed
ExtraInfoUnion,0x5de0,ExtraInfoUnion::get_black_box,dc-name-map,probed:1
ExtraInfoUnion,0x5df0,ExtraInfoUnion::get_creature_bank,dc-name-map,probed:1
ExtraInfoUnion,0x5e10,ExtraInfoUnion::get_university,dc-name-map,probed:1
ExtraInfoUnion,0xfbf90,ExtraInfoUnion::SetCellVisited,dc-name-map,probed:1
ExtraInfoUnion,0x129690,ExtraInfoUnion::PlayerKnowsCell,hd-name-map,probed:1
File,0x1ffb20,??0File@@QAE@XZ,mangled,probed:3
File,0x1ffb40,??1File@@QAE@XZ,mangled,probed:2
File,0x1ffb60,?IsOpen@File@@UAEEXZ,mangled,probed:1
File,0x1ffb70,?Close@File@@UAEEXZ,mangled,probed:1
File,0x1ffbc0,?Open@File@@UAEEPBDW4FileMode@@@Z,mangled,probed:1
File,0x1ffc50,?Write@File@@UAEKPAXK@Z,mangled,probed:1
File,0x1ffc80,?Read@File@@UAEKPAXK@Z,mangled,probed:1
File,0x1ffcb0,?SeekEnd@File@@UAEKXZ,mangled,probed:1
File,0x1ffcd0,?SeekBegin@File@@UAEKXZ,mangled,probed:1
File,0x1ffcf0,?SeekCur@File@@UAEKH@Z,mangled,probed:1
File,0x1ffd20,?Seek@File@@UAEKKK@Z,mangled,probed:1
File,0x1ffd70,?GetPosition@File@@UAEKXZ,mangled,probed:1
File,0x1ffd90,?GetLength@File@@UAEKXZ,mangled,probed:2
LODFile,0xfa610,LODFile::getItemIndex,dc-name-map,probed:4
LODFile,0xfa660,LODFile::Find,dc-name-map,probed:2
LODFile,0xfa800,LODFile::~LODFile,dc-name-map,probed:6
LODFile,0xfa8a0,LODFile::open,dc-name-map,probed:8
LODFile,0xfaa70,LODFile::pointAt,dc-name-map,probed:9
LODFile,0xfab20,LODFile::read,dc-name-map,probed:7
LODFile,0xfaf30,LODFile::open,function-names,decompile-failed
LossConditionStruct,0x5bac0,LossConditionStruct::LossConditionStruct,hd-name-map,probed:3
LossConditionStruct,0x1f2a40,LossConditionStruct::CheckForDefeatedHeroLoss,dc-name-map,probed:2
LossConditionStruct,0x1f2e10,LossConditionStruct::HeroKilled,hd-name-map,probed:3
LossConditionStruct,0x1f2e40,LossConditionStruct::CheckForDefeatedTownLoss,dc-name-map,probed:6
LossConditionStruct,0x1f2f20,LossConditionStruct::CheckForTimeLimitExpired,dc-name-map,probed:4
LossConditionStruct,0x1f31e0,LossConditionStruct::CheckForDefeatedTownLoss,function-names,decompile-failed
NewSMapHeader,0x57990,NewSMapHeader::~NewSMapHeader,function-names,probed:6
NewSMapHeader,0x57cb0,NewSMapHeader::~NewSMapHeader,hd-name-map,probed:35
NewSMapHeader,0x5a990,NewSMapHeader::NewSMapHeader,hd-name-map,probed:15
NewfullMap,0x8770,NewfullMap::cell,hd-name-map,probed:2
NewfullMap,0xfd060,NewfullMap::NewfullMap,dc-name-map,probed:53
NewfullMap,0xfd1e0,NewfullMap::~NewfullMap,dc-name-map,probed:24
NewfullMap,0x105b20,NewfullMap::PlaceObject,dc-name-map,probed:2
NewmapCell,0xfcaa0,NewmapCell::get_trigger_cell,dc-name-map,probed:3
NewmapCell,0xfcbd0,NewmapCell::get_map_object,dc-name-map,probed:2
NewmapCell,0xfcc30,NewmapCell::get_map_extraInfo,dc-name-map,probed:2
NewmapCell,0xfcc80,NewmapCell::cell_is_trigger,dc-name-map,probed:3
NewmapCell,0xfccf0,NewmapCell::is_diggable,dc-name-map,probed:6
NewmapCell,0xfcdc0,NewmapCell::HasTriggerableEvent,dc-name-map,probed:2
NewmapCell,0xfce20,NewmapCell::get_special_terrain,dc-name-map,probed:6
NewmapCell,0xfcf40,NewmapCell::get_magic_terrain_type,hd-name-map,decompile-failed
NewmapCell,0xfd4c0,NewmapCell::~NewmapCell,hd-name-map,probed:3
NewmapCell,0xfd650,NewmapCell::NewmapCell,hd-name-map,probed:11
SCampaign,0x89500,SCampaign::SCampaign,hd-name-map,probed:33
SCampaign,0x897d0,SCampaign::CampaignComplete,hd-name-map,probed:2
SCampaign,0xe6500,SCampaign::GetExpCap,dc-name-map,probed:3
SCampaign,0x17c780,SCampaign::GetCurrentScenario,hd-name-map,probed:2
SavedGameHeader,0xbc0e0,SavedGameHeader::SavedGameHeader,hd-name-map,probed:26
SavedGameHeader,0xbdf80,SavedGameHeader::~SavedGameHeader,hd-name-map,probed:18
TAbstractFile,0x87dd0,TAbstractFile::vslot0,vtable-slot,probed:1
TAdventureMapWindow,0x1400,TAdventureMapWindow::vslot1,vtable-slot,probed:9
TAdventureMapWindow,0x14d0,TAdventureMapWindow::vslot2,vtable-slot,probed:4
TAdventureMapWindow,0x1510,TAdventureMapWindow::TAdventureMapWindow,function-names,probed:26
TAdventureMapWindow,0x2ae0,TAdventureMapWindow::vslot0,vtable-slot,probed:0
TAdventureMapWindow,0x2b10,TAdventureMapWindow::~TAdventureMapWindow,function-names,probed:7
TAdventureMapWindow,0x2b90,TAdventureMapWindow::animate_bottom_view,function-names,probed:2
TAdventureMapWindow,0x2bc0,TAdventureMapWindow::draw_bottom_view,function-names,probed:1
TAdventureMapWindow,0x2c10,TAdventureMapWindow::set_bottom_view,function-names,probed:1
TAdventureMapWindow,0x2c50,TAdventureMapWindow::convertID2HelpID,function-names,decompile-failed
TAdventureMapWindow,0x2e70,TAdventureMapWindow::ProcessRightSelect,function-names,probed:3
TAdventureMapWindow,0x3010,TAdventureMapWindow::ProcessHover,function-names,probed:9
TAdventureMapWindow,0x3220,TAdventureMapWindow::DoHeroKnob,function-names,probed:2
TAdventureMapWindow,0x3280,TAdventureMapWindow::DoTownKnob,function-names,probed:2
TAdventureMapWindow,0x32e0,TAdventureMapWindow::UpdateHeroLocators,function-names,probed:4
TAdventureMapWindow,0x3420,TAdventureMapWindow::UpdateTownLocators,function-names,probed:4
TAdventureMapWindow,0x3560,TAdventureMapWindow::UpdateHeroLocator,function-names,probed:4
TAdventureMapWindow,0x37a0,TAdventureMapWindow::UpdateTownLocator,function-names,probed:4
