# Hand-maintained ledger for `homm3 vc6 queue --smallest`.
# One row is added after five scored candidates, or after an ownership evidence
# pass proves that no defensible source candidate can yet be compiled.
rva	size	state	attempts	best_fuzzy	bank_commit	unit	function	reason
0x14d0a0	69	compiler-state-boundary	0	-	-	rmg	std::list<TPoint>::erase(iterator,iterator)	The recovered 0x543e20 branch routine proves a FIFO list of coordinate pairs, and its destructor, allocator, single-element insert and iterator erase now match exactly. A 64-candidate point-lifetime/public-call batch plus 13 list API controls raised the caller to 73.01996%, but VC6 still expands range erase in its cleanup and emits no standalone COMDAT; natural retention remains the caller's nested inliner boundary.
0x203ac0	77	external-library	0	-	-	pcx	Victor/PCX helper 0x603ac0	The function lies in the pinned 0x603590..0x604823 Victor/PCX external-library tail and therefore is not game source under the project compiler profile.
0x204510	83	external-library	0	-	-	pcx	Victor/PCX helper 0x604510	The function lies in the pinned 0x603590..0x604823 Victor/PCX external-library tail and therefore is not game source under the project compiler profile.
0x15d070	92	compiler-state-boundary	26	96.7742	-	resourcemanager	ResourceManager::getBitmapResourceSize	More than five natural source forms preserve semantics but cannot reproduce retail's dead address materialization; the existing 96.77% peak remains authoritative. A further 21-candidate source batch retained the same peak; controls are recorded beside the function.
0xf4ba0	95	compiler-state-boundary	35	95.1191	-	kb	getNextHumanPlayer	More than five natural loop and branch forms retain the recovered player rotation semantics but do not reproduce retail's register and branch schedule. A further 30-candidate source batch retained the same peak; controls are recorded beside the function.
0xecde0	96	dependent-boundary	0	-	-	inputmgr..kb	std::bitset<4>::set	The sole retail caller is the 212-byte static initializer at 0x4ecd00, which constructs g_gameContextFeatures at 0x699240 from masks 1, 3, 5 and 15. The admitted game source only declares that table; its defining source in the inputmgr..kb bracket is unrecovered. Natural retention depends on recovering the actual initializer, not a missing keyboard path. The carved setter includes both Boolean arms.
0x1154a0	97	compiler-state-boundary	10	-	-	objecttype	std::bitset<48>::bitset(unsigned long)	TObjectTypeTable::load uses the unsigned-long constructor, but objecttype.obj expands it. Removing the obsolete iterator-emission wrapper is flat across the TU; eight established text-accessor/istrstream-overload controls also emit no constructor. Retention still depends on the resize default value's nested inlining state; default-constructing the passability mask would erase the retail-proven ulong boundary.
0x204570	99	external-library	0	-	-	pcx	Victor/PCX helper 0x604570	The function lies in the pinned 0x603590..0x604823 Victor/PCX external-library tail and therefore is not game source under the project compiler profile.
0xd9260	104	compiler-state-boundary	65	96.5278	-	hero	hero::destroySiegeWeaponArtifact	More than five recovered branch and artifact-slot forms preserve behavior but do not reproduce retail's register and control schedule; the 96.53% peak is retained. A further 60-candidate source batch retained the same peak; controls are recorded beside the function.
0x3cdf0	109	unresolved-owner	0	-	-	ai_tactical..army	dynamic int-array reserve helper	Retail operates on a nonstandard array owner with fields at +0x10, +0x20, and +0x24. No emitted std::vector<int>::reserve or recovered class identifies that owner.
0x98b70	110	compiler-state-boundary	46	88.4210	-	dxplay	CDPlayLobby::testLobbied	More than five natural branch forms documented beside the function preserve lobby semantics without recovering retail's control and register schedule. A further 41-candidate source batch retained the same peak; controls are recorded beside the function.
0x2037a0	110	external-library	0	-	-	pcx	Victor/PCX helper 0x6037a0	The function lies in the pinned 0x603590..0x604823 Victor/PCX external-library tail and therefore is not game source under the project compiler profile.
